AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
354,273,Thimmaiah Naik,27,M,A2
355,273,Pooja Setty,45,F,A3
356,273,Radha Setty,29,F,A4
357,273,Roopa Poojary,42,F,A5
358,273,Ullas Sheikh,49,M,A6
359,273,Prakash Nair,24,M,A7
360,274,Manjunath Sheikh,23,M,A1
361,277,Pooja Setty,37,F,A1
362,277,Roopa Achar,35,F,A2
363,281,Latha Naik,52,F,A1
364,281,Jagadish Setty,36,M,A2
365,281,Naveen Setty,23,M,A3
366,282,Lokesh Sheikh,50,M,A1
367,282,Suresh Shetty,44,M,A2
368,283,Vijayalakshmi Reddy,25,F,A1
369,284,Usha Sheikh,21,F,A1
370,285,Roopa Kumar,55,F,A1
371,290,Roopa Poojary,42,F,A1
372,293,Meena Hegde,51,F,A1
373,293,Ravi Poojary,27,M,A2
374,294,Arjun Patil,37,M,A1
375,294,Ravi Poojary,27,M,A2
376,295,Ravi Kumar,38,M,A1
377,295,Triveni Hegde,23,F,A2
378,296,Usha Khan,44,F,A1
379,296,Suresh Poojary,29,M,A2
380,297,Puneeth Setty,45,M,A1
381,299,Naveen Achar,41,M,A1
382,300,Lokesh Shetty,35,M,A1
383,300,Meena Khan,38,F,A2
384,301,Santosh Achar,19,M,A1
385,301,Prakash Fernandes,41,M,A2
386,302,Yogesh Fernandes,43,M,A1
387,304,Naveen Sheikh,23,M,A1
388,306,Sowmya Nair,25,F,A1
389,307,Arjun Poojary,33,M,A1
390,307,Mahesh Kumar,43,M,A2
391,309,Yogesh Nair,29,M,A1
392,310,Kavya Hegde,39,F,A1
393,310,Meena Gowda,27,F,A2
394,310,Latha Hegde,48,F,A3
395,311,Thimmaiah Shetty,21,M,A1
396,312,Naveen Khan,25,M,A1
397,313,Prakash Naik,47,M,A1
398,313,Nandini Naik,36,F,A2
399,313,Usha Poojary,31,F,A3
400,315,Manjunath Khan,30,M,A1
401,315,Shwetha Nair,50,F,A2
402,315,Puneeth Reddy,33,M,A3
403,316,Nataraj Sheikh,31,M,A1
404,316,Shankar Khan,33,M,A2
405,316,Deepa Poojary,25,F,A3
406,318,Zameer Hegde,35,M,A1
407,318,Yamuna Poojary,23,F,A2
408,320,Basavaraj Nair,47,M,A1
409,321,Naveen Achar,39,M,A1
410,321,Radha Naik,48,F,A2
411,322,Vijayalakshmi Poojary,42,F,A1
412,322,Fatima Setty,42,F,A2
413,322,Krishna Hegde,28,M,A3
414,323,Lokesh Hegde,34,M,A1
415,325,Shankar Nair,28,M,A1
416,326,Santosh Achar,28,M,A1
417,327,Radha Kumar,44,F,A1
418,328,Yogesh Nair,31,M,A1
419,330,Anitha Fernandes,47,F,A1
420,330,Suresh Poojary,30,M,A2
421,330,Suresh Poojary,30,M,A3
422,332,Basavaraj Khan,45,M,A1
423,332,Zameer Fernandes,37,M,A2
424,332,Vani Reddy,36,F,A3
425,336,Triveni Achar,51,F,A1
426,336,Zeenath Nair,23,F,A2
427,338,Roopa Khan,35,F,A1
428,339,Roopa Reddy,40,F,A1
429,342,Om Rao,40,M,A1
430,345,Ullas Patil,22,M,A1
431,346,Santosh Hegde,45,M,A1
432,346,Vijayalakshmi Setty,23,F,A2
433,348,Raghu Hegde,42,M,A1
434,350,Vinay Nair,25,M,A1
435,351,Zeenath Fernandes,21,F,A1
436,351,Ravi Khan,43,M,A2
437,352,Triveni Hegde,24,F,A1
438,354,Usha Setty,24,F,A1
439,354,Zeenath Hegde,26,F,A2
440,355,Vinay Shetty,21,M,A1
441,355,Anthony Nair,30,M,A2
442,356,Roopa Reddy,48,F,A1
443,356,Radha Poojary,30,F,A2
444,357,Triveni Nair,18,F,A1
445,357,Harish Khan,24,M,A2
446,358,Latha Khan,18,F,A1
447,359,Roopa Poojary,42,F,A1
448,360,Anthony Khan,18,M,A1
449,363,Arjun Poojary,33,M,A1
450,364,Puneeth Fernandes,52,M,A1
451,365,Basavaraj Sheikh,29,M,A1
452,366,Basavaraj Kumar,42,M,A1
453,366,Vani Shetty,30,F,A2
454,367,Yusuf Patil,34,M,A1
455,367,Ayesha Poojary,40,F,A2
456,369,Harish Khan,24,M,A1
457,369,Ayesha Reddy,23,F,A2
458,371,Om Nair,46,M,A1
459,371,Santosh Sheikh,19,M,A2
460,372,Roopa Poojary,43,F,A1
461,372,Kavya Fernandes,46,F,A2
462,373,Kavya Kumar,46,F,A1
463,375,Ullas Setty,45,M,A1
464,375,Puneeth Hegde,27,M,A2
465,376,Yogesh Fernandes,41,M,A1
466,376,Sunitha Poojary,38,F,A2
467,377,Shwetha Kumar,48,F,A1
468,378,Zeenath Hegde,44,F,A1
469,378,Shankar Fernandes,49,M,A2
470,378,Imran Khan,50,M,A3
471,378,Kavya Fernandes,44,F,A4
472,378,Anitha Gowda,25,F,A5
473,379,Imran Setty,49,M,A1
474,380,Usha Naik,26,F,A1
475,380,Arjun Poojary,33,M,A2
476,381,Raghu Gowda,28,M,A1
477,381,Sunitha Fernandes,46,F,A2
478,381,Pooja Reddy,30,F,A3
479,383,Iqbal Achar,36,M,A1
480,383,Suresh Achar,23,M,A2
481,383,Sunitha Patil,46,F,A3
482,385,Triveni Fernandes,18,F,A1
483,385,Chandru Rao,41,M,A2
484,385,Nandini Naik,37,F,A3
485,385,Triveni Setty,45,F,A4
486,387,Ayesha Setty,25,F,A1
487,391,Suresh Achar,26,M,A1
488,391,Sowmya Patil,46,F,A2
489,392,Triveni Nair,21,F,A1
490,392,Roopa Achar,24,F,A2
491,393,Anthony Sheikh,27,M,A1
492,393,Shwetha Hegde,45,F,A2
493,393,Anthony Hegde,37,M,A3
494,393,Anitha Nair,22,F,A4
495,393,Nataraj Fernandes,19,M,A5
496,396,Zameer Sheikh,28,M,A1
497,396,Mahesh Poojary,36,M,A2
498,396,Ullas Patil,22,M,A3
499,398,Sowmya Rao,39,F,A1
500,398,Venkatesh Hegde,54,M,A2
501,399,Anitha Poojary,54,F,A1
502,400,Suresh Poojary,30,M,A1
503,400,Nataraj Khan,30,M,A2
504,400,Lokesh Khan,53,M,A3
505,403,Vijayalakshmi Hegde,22,F,A1
506,403,Vani Gowda,53,F,A2
507,405,Naveen Nair,36,M,A1
508,405,Santosh Nair,39,M,A2
509,406,Roopa Reddy,35,F,A1
510,407,Shankar Sheikh,29,M,A1
511,407,Chandru Patil,32,M,A2
512,408,Sunitha Setty,50,F,A1
513,409,Latha Sheikh,53,F,A1
514,410,Sowmya Fernandes,22,F,A1
515,412,Yamuna Patil,50,F,A1
516,412,Naveen Sheikh,24,M,A2
517,413,Zameer Fernandes,29,M,A1
518,413,Santosh Shetty,40,M,A2
519,413,Venkatesh Sheikh,53,M,A3
520,413,Radha Setty,21,F,A4
521,413,Gopal Rao,34,M,A5
522,414,Fatima Nair,40,F,A1
523,414,Triveni Hegde,22,F,A2
524,415,Vani Naik,36,F,A1
525,416,Ullas Khan,39,M,A1
526,417,Om Reddy,34,M,A1
527,417,Sunitha Gowda,52,F,A2
528,418,Sowmya Fernandes,19,F,A1
529,418,Ayesha Reddy,49,F,A2
530,418,Harish Achar,24,M,A3
531,418,Jagadish Sheikh,20,M,A4
532,418,Vijayalakshmi Setty,21,F,A5
533,420,Puneeth Sheikh,40,M,A1
534,423,Puneeth Fernandes,54,M,A1
535,423,Yusuf Achar,22,M,A2
536,423,Sowmya Fernandes,42,F,A3
537,424,Yogesh Hegde,29,M,A1
538,425,Fatima Khan,18,F,A1
539,425,Fatima Kumar,46,F,A2
540,425,Mahesh Achar,55,M,A3
541,426,Basavaraj Hegde,24,M,A1
542,426,Harish Khan,29,M,A2
543,428,Thimmaiah Khan,52,M,A1
544,428,Anitha Nair,50,F,A2
545,429,Sunitha Reddy,24,F,A1
546,429,Zeenath Patil,31,F,A2
547,432,Kavya Sheikh,31,F,A1
548,433,Lokesh Kumar,42,M,A1
549,434,Suresh Poojary,30,M,A1
550,435,Nataraj Nair,34,M,A1
551,437,Harish Fernandes,42,M,A1
552,437,Radha Nair,31,F,A2
553,441,Vinay Nair,25,M,A1
554,442,Shwetha Hegde,42,F,A1
555,442,Gopal Khan,27,M,A2
556,443,Zeenath Khan,33,F,A1
557,443,Manjunath Hegde,29,M,A2
558,443,Sunitha Setty,37,F,A3
559,445,Yamuna Poojary,35,F,A1
560,445,Fatima Setty,40,F,A2
561,446,Om Rao,41,M,A1
562,446,Triveni Reddy,49,F,A2
563,447,Nataraj Patil,26,M,A1
564,451,Basavaraj Khan,46,M,A1
565,451,Usha Khan,38,F,A2
566,452,Imran Sheikh,21,M,A1
567,452,Vani Setty,44,F,A2
568,453,Kavya Fernandes,44,F,A1
569,454,Om Rao,41,M,A1
570,457,Thimmaiah Reddy,35,M,A1
571,458,Latha Hegde,22,F,A1
572,458,Naveen Sheikh,22,M,A2
573,458,Vinay Achar,24,M,A3
574,462,Pooja Reddy,34,F,A1
575,462,Triveni Hegde,22,F,A2
576,462,Raghu Poojary,22,M,A3
577,463,Usha Kumar,52,F,A1
578,465,Anitha Fernandes,18,F,A1
579,465,Ayesha Shetty,43,F,A2
580,467,Imran Sheikh,41,M,A1
581,474,Chandru Naik,22,M,A1
582,474,Yogesh Rao,44,M,A2
583,475,Naveen Gowda,44,M,A1
584,477,Puneeth Fernandes,28,M,A1
585,479,Zameer Shetty,41,M,A1
586,480,Yamuna Khan,24,F,A1
587,481,Sunitha Khan,25,F,A1
588,481,Zeenath Naik,37,F,A2
589,482,Usha Khan,38,F,A1
590,484,Ravi Naik,44,M,A1
591,485,Raghu Hegde,40,M,A1
592,485,Fatima Achar,19,F,A2
593,485,Ullas Nair,48,M,A3
594,486,Puneeth Setty,42,M,A1
595,488,Thimmaiah Nair,19,M,A1
596,489,Ayesha Gowda,30,F,A1
597,489,Vijayalakshmi Patil,38,F,A2
598,491,Kavya Sheikh,49,F,A1
599,491,Triveni Kumar,44,F,A2
600,493,Yamuna Khan,19,F,A1
601,493,Prakash Naik,30,M,A2
602,494,Triveni Fernandes,28,F,A1
603,495,Imran Hegde,47,M,A1
604,495,Vinay Naik,42,M,A2
605,497,Om Sheikh,31,M,A1
606,499,Thimmaiah Hegde,39,M,A1
607,499,Usha Reddy,40,F,A2
608,499,Fatima Setty,41,F,A3
609,499,Radha Nair,31,F,A4
610,500,Shwetha Hegde,40,F,A1
611,501,Radha Rao,26,F,A1
612,501,Sunitha Khan,25,F,A2
613,501,Yamuna Hegde,18,F,A3
614,503,Vani Patil,41,F,A1
615,503,Sowmya Kumar,22,F,A2
616,505,Zeenath Khan,22,F,A1
617,505,Kavya Fernandes,46,F,A2
618,507,Yamuna Naik,52,F,A1
619,509,Yamuna Patil,45,F,A1
620,509,Puneeth Hegde,39,M,A2
621,510,Ullas Setty,33,M,A1
622,510,Usha Fernandes,51,F,A2
623,511,Puneeth Nair,30,M,A1
624,512,Latha Patil,38,F,A1
625,512,Radha Achar,43,F,A2
626,512,Latha Setty,38,F,A3
627,512,Harish Kumar,26,M,A4
628,513,Radha Sheikh,49,F,A1
629,515,Anthony Rao,53,M,A1
630,516,Sowmya Gowda,42,F,A1
631,516,Sowmya Gowda,42,F,A2
632,517,Latha Kumar,31,F,A1
633,517,Triveni Setty,44,F,A2
634,517,Suresh Gowda,31,M,A3
635,517,Vinay Hegde,35,M,A4
636,517,Latha Shetty,44,F,A5
637,518,Basavaraj Patil,28,M,A1
638,518,Pooja Hegde,51,F,A2
639,518,Deepa Nair,40,F,A3
640,519,Arjun Gowda,19,M,A1
641,524,Yusuf Patil,21,M,A1
642,524,Yusuf Reddy,52,M,A2
643,525,Zeenath Kumar,50,F,A1
644,525,Latha Rao,33,F,A2
645,525,Krishna Patil,37,M,A3
646,526,Iqbal Reddy,18,M,A1
647,527,Chandru Naik,35,M,A1
648,527,Santosh Naik,34,M,A2
649,528,Krishna Setty,40,M,A1
650,528,Manjunath Hegde,30,M,A2
651,528,Nandini Setty,36,F,A3
652,528,Jagadish Reddy,34,M,A4
653,528,Vani Reddy,42,F,A5
654,528,Shankar Hegde,31,M,A6
655,528,Basavaraj Reddy,28,M,A7
656,530,Zeenath Nair,37,F,A1
657,530,Vinay Nair,23,M,A2
658,531,Ravi Shetty,39,M,A1
659,531,Vani Khan,49,F,A2
660,532,Ayesha Hegde,44,F,A1
661,532,Sowmya Fernandes,21,F,A2
662,533,Raghu Fernandes,18,M,A1
663,533,Raghu Hegde,41,M,A2
664,533,Zeenath Achar,29,F,A3
665,534,Yogesh Nair,30,M,A1
666,535,Arjun Nair,27,M,A1
667,535,Suresh Naik,24,M,A2
668,536,Naveen Sheikh,23,M,A1
669,536,Pooja Naik,28,F,A2
670,537,Harish Kumar,28,M,A1
671,538,Mahesh Achar,31,M,A1
672,538,Vijayalakshmi Setty,46,F,A2
673,539,Vinay Gowda,42,M,A1
674,540,Radha Hegde,48,F,A1
675,541,Zameer Hegde,25,M,A1
676,542,Yogesh Khan,43,M,A1
677,542,Vani Patil,50,F,A2
678,542,Shwetha Hegde,44,F,A3
679,542,Jagadish Setty,42,M,A4
680,543,Usha Khan,38,F,A1
681,544,Harish Reddy,48,M,A1
682,545,Yamuna Gowda,37,F,A1
683,547,Ravi Rao,25,M,A1
684,548,Nandini Poojary,37,F,A1
685,548,Vani Poojary,29,F,A2
686,548,Sunitha Gowda,21,F,A3
687,548,Lokesh Patil,22,M,A4
688,549,Imran Patil,21,M,A1
689,549,Pooja Gowda,18,F,A2
690,550,Puneeth Fernandes,29,M,A1
691,550,Ullas Patil,22,M,A2
692,550,Shwetha Hegde,44,F,A3
693,551,Nataraj Nair,23,M,A1
694,551,Thimmaiah Gowda,29,M,A2
695,552,Nandini Hegde,36,F,A1
