VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
176,109,Yamuna Nair,72,F,0
177,109,Puneeth Fernandes,50,M,0
178,110,Sunitha Setty,69,T,0
179,111,Vijayalakshmi Patil,62,F,0
180,111,Meena Patil,33,T,0
181,112,Triveni Khan,13,T,0
182,113,Pooja Rao,28,T,0
183,114,Ayesha Kumar,45,T,0
184,115,Manjunath Shetty,32,M,0
185,115,Nataraj Reddy,48,M,0
186,116,Anitha Achar,60,T,0
187,117,Radha Naik,33,T,0
188,118,Latha Poojary,72,F,0
189,118,Ayesha Setty,71,F,0
190,119,Yogesh Kumar,40,M,0
191,119,Fatima Poojary,58,F,0
192,120,Radha Reddy,50,F,0
193,120,Vinay Khan,19,M,0
194,121,Nandini Hegde,39,F,0
195,121,Usha Shetty,46,F,0
196,122,Sunitha Reddy,40,T,0
197,122,Ayesha Gowda,44,T,0
198,123,Pooja Nair,59,T,0
199,123,Mahesh Sheikh,33,M,0
200,124,Pooja Shetty,27,T,0
201,124,Fatima Fernandes,10,F,0
202,125,Vani Rao,52,T,0
203,125,Latha Achar,46,F,0
204,126,Latha Rao,18,F,0
205,126,Triveni Setty,28,F,0
206,127,Radha Khan,49,F,0
207,128,Vijayalakshmi Kumar,30,F,0
208,128,Deepa Khan,52,T,0
209,129,Krishna Nair,36,M,0
210,129,Chandru Hegde,57,M,0
211,130,Latha Nair,51,F,0
212,131,Zeenath Poojary,32,F,0
213,132,Deepa Nair,24,F,0
214,132,Naveen Kumar,55,M,0
215,133,Gopal Achar,6,M,0
216,134,Anitha Fernandes,20,T,0
217,135,Shwetha Patil,72,F,0
218,135,Kavya Fernandes,7,F,0
219,136,Roopa Sheikh,34,T,0
220,136,Thimmaiah Naik,65,M,0
221,137,Deepa Nair,26,F,0
222,137,Shwetha Kumar,63,T,0
223,138,Lokesh Shetty,35,M,0
224,138,Vani Patil,7,T,0
225,139,Om Patil,71,M,0
226,140,Kavya Sheikh,59,T,0
227,140,Vinay Naik,19,M,0
228,141,Yogesh Naik,14,M,0
229,141,Iqbal Poojary,74,M,0
230,142,Sunitha Rao,70,T,0
231,142,Vani Khan,53,F,0
232,143,Ayesha Khan,75,T,0
233,143,Sunitha Setty,29,T,0
234,144,Vani Poojary,68,T,0
235,144,Zeenath Shetty,60,F,0
236,145,Yamuna Kumar,45,F,0
237,146,Latha Naik,55,F,0
238,146,Anthony Rao,74,M,0
239,147,Puneeth Hegde,38,M,0
240,148,Fatima Nair,26,F,0
241,149,Naveen Naik,61,M,0
242,149,Pooja Shetty,66,F,0
243,150,Zeenath Poojary,28,T,0
244,150,Raghu Sheikh,44,M,0
245,151,Usha Gowda,72,F,0
246,151,Zameer Nair,23,M,0
247,152,Zeenath Shetty,25,F,0
248,152,Thimmaiah Shetty,26,M,0
249,153,Triveni Shetty,28,F,0
250,154,Radha Khan,23,T,0
251,155,Deepa Khan,16,F,0
252,156,Kavya Gowda,40,T,0
253,156,Venkatesh Shetty,60,M,0
254,157,Naveen Shetty,46,M,0
255,158,Vijayalakshmi Gowda,59,F,0
256,158,Roopa Naik,35,F,0
257,159,Krishna Sheikh,43,M,0
258,159,Shwetha Gowda,34,F,0
259,160,Manjunath Nair,59,M,0
260,160,Ayesha Hegde,45,T,0
261,161,Radha Achar,11,T,0
262,161,Usha Reddy,25,T,0
263,162,Raghu Poojary,11,M,0
264,162,Anthony Reddy,29,M,0
265,163,Yogesh Shetty,18,M,0
266,163,Zeenath Kumar,49,T,0
267,164,Anitha Patil,27,F,0
268,165,Venkatesh Naik,48,M,0
269,165,Zeenath Khan,12,T,0
270,166,Sunitha Kumar,17,T,0
271,166,Jagadish Fernandes,5,M,0
272,167,Sunitha Hegde,34,T,0
273,167,Sunitha Gowda,32,T,0
274,168,Fatima Nair,41,F,0
275,169,Fatima Setty,22,T,0
276,170,Vijayalakshmi Naik,32,T,0
277,171,Basavaraj Rao,36,M,0
278,171,Vinay Setty,37,M,0
279,172,Shwetha Naik,53,T,0
280,173,Pooja Achar,43,T,0
281,173,Sowmya Naik,19,F,0
282,174,Meena Poojary,33,T,0
283,174,Vani Sheikh,63,F,0
284,175,Venkatesh Gowda,25,M,0
285,175,Deepa Setty,6,T,0
286,176,Latha Naik,49,F,0
287,176,Shwetha Patil,42,T,0
288,177,Vijayalakshmi Poojary,45,F,0
289,177,Sowmya Hegde,66,F,0
290,178,Puneeth Shetty,66,M,0
291,178,Fatima Reddy,30,T,0
292,179,Usha Poojary,60,F,0
293,179,Lokesh Khan,23,M,0
294,180,Radha Kumar,16,F,0
295,180,Anitha Patil,75,T,0
296,181,Ullas Shetty,75,M,0
297,181,Latha Naik,13,F,0
298,182,Puneeth Poojary,18,M,0
299,182,Vani Poojary,63,T,0
300,183,Santosh Gowda,22,M,0
301,184,Sowmya Sheikh,55,T,0
302,184,Sunitha Fernandes,8,F,0
303,185,Triveni Kumar,8,F,0
304,185,Fatima Reddy,75,T,0
305,186,Yamuna Reddy,66,T,0
306,187,Manjunath Kumar,64,M,0
307,187,Ravi Achar,21,M,0
308,188,Prakash Poojary,66,M,0
309,188,Ayesha Sheikh,70,F,0
310,189,Chandru Setty,35,M,0
311,189,Gopal Rao,16,M,0
312,190,Puneeth Shetty,10,M,0
313,191,Thimmaiah Nair,68,M,0
314,191,Vani Rao,68,F,0
315,191,Roopa Rao,32,F,0
316,191,Latha Fernandes,48,F,0
317,191,Vinay Shetty,29,M,0
318,192,Triveni Gowda,40,T,0
319,192,Kavya Rao,22,F,0
320,193,Sowmya Naik,24,F,0
321,193,Suresh Rao,69,M,0
322,194,Yamuna Kumar,9,T,0
323,195,Manjunath Khan,30,M,0
324,195,Zeenath Rao,6,T,0
325,196,Imran Naik,46,M,0
326,196,Sunitha Poojary,11,F,0
327,197,Zeenath Shetty,70,F,0
328,197,Meena Fernandes,72,F,0
329,198,Pooja Rao,57,F,0
330,198,Naveen Hegde,6,M,0
331,199,Deepa Shetty,35,T,0
332,200,Nataraj Sheikh,33,M,0
333,200,Imran Nair,53,M,0
334,201,Zeenath Gowda,71,T,0
335,201,Anitha Fernandes,71,F,0
336,202,Shwetha Sheikh,75,T,0
337,203,Vijayalakshmi Setty,25,F,0
338,204,Yamuna Shetty,62,T,0
339,204,Puneeth Setty,51,M,0
340,205,Fatima Achar,32,T,0
341,206,Zameer Patil,20,M,0
342,206,Vani Patil,30,F,0
343,207,Sowmya Fernandes,24,T,0
344,208,Usha Rao,33,F,0
345,209,Jagadish Kumar,37,M,0
346,210,Sowmya Naik,30,F,0
347,211,Sowmya Hegde,8,F,0
348,211,Meena Poojary,57,F,0
349,212,Latha Gowda,74,T,0
350,212,Triveni Shetty,14,T,0
351,213,Iqbal Sheikh,48,M,0
352,213,Kavya Reddy,44,F,0
353,214,Prakash Achar,9,M,0
354,214,Latha Sheikh,56,T,0
355,215,Yamuna Kumar,63,T,0
356,216,Roopa Rao,26,T,0
357,217,Kavya Sheikh,67,F,0
358,218,Shwetha Khan,67,T,0
359,218,Anitha Patil,54,T,0
360,219,Ayesha Sheikh,44,F,0
361,220,Triveni Kumar,68,T,0
362,220,Vani Naik,16,F,0
363,221,Triveni Rao,5,T,0
364,221,Meena Nair,36,T,0
365,222,Mahesh Kumar,22,M,0
366,222,Vijayalakshmi Shetty,54,T,0
367,223,Sunitha Setty,13,F,0
368,224,Iqbal Nair,56,M,0
369,224,Latha Fernandes,36,F,0
370,225,Pooja Nair,11,T,0
371,225,Shankar Hegde,61,M,0
372,226,Prakash Poojary,24,M,0
373,226,Mahesh Hegde,43,M,0
374,227,Pooja Reddy,64,T,0
375,228,Gopal Naik,14,M,0
376,228,Ayesha Fernandes,27,F,0
377,229,Usha Shetty,52,T,0
378,229,Nandini Nair,60,F,0
379,230,Meena Fernandes,47,T,0
380,231,Puneeth Poojary,73,M,0
381,232,Ayesha Fernandes,69,T,0
382,232,Kavya Achar,12,T,0
383,233,Ayesha Naik,34,F,0
384,234,Arjun Patil,26,M,0
385,235,Yamuna Kumar,63,F,0
386,236,Sunitha Rao,47,F,0
387,237,Latha Naik,10,T,0
388,238,Triveni Rao,12,T,0
389,238,Om Sheikh,53,M,0
390,238,Meena Achar,43,F,0
391,239,Shwetha Sheikh,43,F,0
392,240,Yamuna Kumar,42,F,0
393,241,Thimmaiah Hegde,30,M,0
394,241,Ullas Poojary,47,M,0
395,242,Harish Khan,42,M,0
396,243,Pooja Rao,10,F,0
397,243,Zeenath Rao,75,F,0
398,244,Vani Kumar,32,T,0
399,244,Sunitha Setty,20,F,0
400,245,Meena Nair,16,T,0
401,246,Latha Achar,25,T,0
402,246,Venkatesh Poojary,74,M,0
403,247,Kavya Khan,74,F,0
404,247,Anthony Hegde,49,M,0
405,248,Zeenath Rao,41,F,0
406,249,Radha Naik,58,F,0
407,250,Latha Reddy,74,T,0
408,251,Yamuna Patil,58,T,0
409,251,Chandru Poojary,24,M,0
410,252,Imran Reddy,50,M,0
411,252,Deepa Gowda,6,F,0
412,253,Radha Khan,47,T,0
413,254,Nandini Kumar,53,F,0
414,255,Yamuna Rao,31,T,0
415,256,Roopa Khan,56,F,0
416,257,Vani Nair,35,F,0
417,257,Sowmya Patil,71,F,0
418,258,Mahesh Khan,42,M,0
419,258,Imran Fernandes,66,M,0
420,259,Nataraj Rao,13,M,0
421,260,Vani Shetty,38,F,0
422,260,Nandini Gowda,19,F,0
423,260,Shwetha Fernandes,42,T,0
424,260,Fatima Shetty,56,T,0
425,260,Thimmaiah Gowda,30,M,0
426,261,Deepa Naik,41,T,0
427,262,Latha Reddy,48,F,0
428,262,Ullas Setty,64,M,0
429,263,Anitha Khan,46,T,0
430,264,Usha Shetty,62,T,0
431,265,Kavya Fernandes,63,F,0
432,266,Ullas Sheikh,19,M,0
433,266,Anitha Nair,53,T,0
434,267,Vani Khan,43,F,0
435,267,Deepa Kumar,16,T,0
436,268,Radha Nair,37,T,0
437,268,Radha Naik,15,F,0
438,269,Yamuna Patil,9,T,0
439,269,Mahesh Setty,51,M,0
440,270,Anthony Patil,14,M,0
441,270,Fatima Hegde,37,T,0
442,271,Roopa Shetty,55,F,0
443,272,Usha Hegde,55,F,0
444,272,Deepa Gowda,24,T,0
445,273,Yamuna Sheikh,12,F,0
446,273,Anitha Shetty,38,F,0
447,273,Anitha Reddy,36,T,0
448,274,Latha Shetty,48,F,0
449,275,Shankar Kumar,55,M,0
450,275,Pooja Shetty,31,T,0
451,276,Triveni Hegde,62,T,0
452,277,Prakash Patil,47,M,0
453,278,Chandru Achar,12,M,0
454,278,Pooja Kumar,74,T,0
455,279,Yusuf Poojary,64,M,0
456,280,Fatima Shetty,25,T,0
457,281,Zeenath Setty,24,T,0
458,282,Latha Achar,33,T,0
459,283,Anitha Patil,66,T,0
460,284,Vani Gowda,72,T,0
461,284,Usha Gowda,7,F,0
462,285,Shwetha Shetty,39,T,0
463,285,Deepa Poojary,10,F,0
464,286,Arjun Poojary,38,M,0
465,287,Ravi Setty,56,M,0
466,288,Gopal Naik,12,M,0
467,289,Fatima Fernandes,74,F,0
468,289,Latha Nair,32,F,0
469,290,Fatima Hegde,73,T,0
470,290,Triveni Kumar,23,T,0
471,291,Fatima Setty,63,T,0
472,292,Latha Kumar,60,T,0
473,293,Ullas Shetty,61,M,0
474,293,Deepa Hegde,29,T,0
475,294,Vijayalakshmi Achar,55,T,0
476,294,Pooja Khan,24,T,0
477,295,Radha Reddy,17,T,0
478,295,Radha Achar,17,T,0
479,296,Triveni Sheikh,13,F,0
480,297,Santosh Patil,44,M,0
481,297,Sunitha Gowda,9,F,0
482,298,Ayesha Setty,23,T,0
483,299,Nataraj Sheikh,55,M,0
484,299,Shankar Khan,57,M,0
485,300,Fatima Khan,33,F,0
486,300,Pooja Nair,62,F,0
487,301,Sowmya Rao,53,F,0
488,302,Deepa Fernandes,58,F,0
489,302,Vani Kumar,13,F,0
490,303,Shwetha Kumar,20,T,0
491,303,Meena Kumar,74,T,0
492,304,Vani Nair,11,T,0
493,304,Naveen Naik,20,M,0
494,305,Basavaraj Nair,64,M,0
495,305,Pooja Naik,73,F,0
496,306,Vijayalakshmi Gowda,41,T,0
497,306,Vijayalakshmi Gowda,61,T,0
498,307,Triveni Sheikh,64,T,0
499,307,Kavya Shetty,9,T,0
500,308,Jagadish Rao,74,M,0
501,308,Deepa Patil,56,F,0
502,309,Fatima Khan,41,T,0
503,309,Venkatesh Setty,39,M,0
504,310,Latha Achar,75,F,0
505,310,Vinay Naik,15,M,0
506,310,Anitha Patil,75,T,0
507,310,Sunitha Kumar,61,T,0
508,310,Radha Shetty,18,F,0
509,311,Gopal Rao,56,M,0
510,312,Naveen Shetty,6,M,0
511,312,Prakash Sheikh,65,M,0
512,313,Santosh Khan,14,M,0
513,314,Triveni Khan,26,F,0
514,315,Pooja Nair,34,T,0
515,315,Vijayalakshmi Patil,56,F,0
516,316,Deepa Setty,29,T,0
517,317,Roopa Khan,62,T,0
518,317,Yamuna Fernandes,54,F,0
519,318,Suresh Reddy,13,M,0
520,319,Nandini Kumar,38,T,0
521,319,Iqbal Patil,15,M,0
522,320,Yusuf Kumar,41,M,0
523,320,Jagadish Achar,34,M,0
524,321,Radha Fernandes,73,T,0
525,322,Zameer Gowda,51,M,0
526,323,Sunitha Shetty,58,T,0
527,323,Roopa Shetty,8,F,0
528,324,Nandini Shetty,67,T,0
529,325,Meena Rao,46,T,0
530,326,Yamuna Gowda,53,T,0
531,327,Sowmya Fernandes,38,F,0
532,327,Fatima Khan,68,F,0
533,328,Vijayalakshmi Setty,28,F,0
534,328,Vijayalakshmi Nair,48,T,0
535,329,Radha Rao,49,F,0
536,330,Usha Hegde,31,F,0
537,331,Puneeth Nair,41,M,0
538,332,Ayesha Rao,74,F,0
539,333,Vani Setty,65,F,0
540,333,Yamuna Sheikh,62,F,0
541,334,Anitha Rao,71,T,0
542,334,Shwetha Fernandes,27,F,0
543,335,Triveni Nair,63,T,0
544,335,Suresh Shetty,24,M,0
545,336,Fatima Gowda,65,F,0
546,337,Fatima Fernandes,32,T,0
547,337,Usha Hegde,17,T,0
548,338,Latha Patil,49,F,0
549,339,Usha Reddy,54,T,0
550,340,Pooja Sheikh,74,T,0
551,340,Kavya Naik,45,T,0
552,341,Yamuna Gowda,71,F,0
553,341,Yogesh Kumar,36,M,0
554,342,Shwetha Nair,48,T,0
555,343,Zameer Poojary,42,M,0
556,344,Mahesh Nair,64,M,0
557,345,Fatima Achar,33,T,0
558,345,Fatima Nair,75,F,0
559,346,Sunitha Kumar,39,F,0
560,346,Vani Setty,72,F,0
561,347,Nandini Shetty,6,F,0
562,348,Nandini Hegde,72,F,0
563,348,Vani Hegde,34,F,0
564,349,Mahesh Sheikh,15,M,0
565,350,Harish Reddy,16,M,0
566,351,Triveni Hegde,19,F,0
567,351,Kavya Reddy,53,F,0
568,352,Vijayalakshmi Khan,18,F,0
569,353,Yamuna Achar,17,T,0
570,353,Radha Nair,44,F,0
571,354,Ravi Poojary,74,M,0
572,355,Ullas Fernandes,61,M,0
573,355,Radha Reddy,58,T,0
574,356,Vani Fernandes,38,F,0
575,357,Suresh Fernandes,38,M,0
576,357,Anitha Hegde,12,F,0
577,358,Jagadish Poojary,16,M,0
578,358,Sowmya Naik,13,F,0
579,359,Fatima Setty,36,F,0
580,360,Fatima Patil,30,T,0
581,360,Shankar Reddy,49,M,0
582,361,Triveni Patil,8,T,0
583,362,Sowmya Achar,43,T,0
584,363,Radha Rao,51,T,0
585,364,Ayesha Kumar,11,F,0
586,365,Ravi Gowda,45,M,0
587,366,Sowmya Sheikh,54,F,0
588,367,Lokesh Shetty,56,M,0
589,368,Thimmaiah Patil,41,M,0
590,368,Basavaraj Patil,61,M,0
591,369,Latha Rao,38,T,0
592,369,Pooja Hegde,63,F,0
593,370,Zeenath Achar,9,F,0
594,371,Nandini Khan,70,F,0
595,371,Kavya Naik,24,T,0
596,372,Vinay Naik,64,M,0
597,372,Om Achar,68,M,0
598,373,Anitha Setty,24,F,0
599,374,Vijayalakshmi Hegde,23,F,0
600,375,Vijayalakshmi Sheikh,57,F,0
601,375,Ayesha Sheikh,7,T,0
602,376,Usha Naik,34,T,0
603,377,Zeenath Achar,30,F,0
604,377,Puneeth Reddy,24,M,0
605,378,Anthony Gowda,54,M,0
606,378,Sunitha Khan,56,T,0
607,379,Triveni Naik,38,F,0
608,380,Usha Naik,6,F,0
609,380,Lokesh Gowda,26,M,0
610,381,Deepa Hegde,25,T,0
611,381,Yogesh Khan,15,M,0
612,381,Ullas Reddy,59,M,0
613,381,Pooja Khan,69,T,0
614,381,Sowmya Patil,54,T,0
615,382,Yamuna Patil,46,T,0
616,383,Prakash Reddy,58,M,0
617,384,Pooja Poojary,21,F,0
618,384,Mahesh Poojary,42,M,0
619,385,Anitha Gowda,68,T,0
620,385,Arjun Khan,20,M,0
621,386,Meena Gowda,72,T,0
622,387,Basavaraj Hegde,56,M,0
623,387,Anitha Hegde,61,T,0
624,388,Roopa Khan,71,F,0
625,388,Sowmya Fernandes,14,F,0
626,389,Yogesh Khan,55,M,0
627,389,Kavya Naik,37,T,0
628,390,Yusuf Naik,22,M,0
629,390,Naveen Fernandes,36,M,0
630,391,Sowmya Fernandes,11,F,0
631,391,Nataraj Reddy,22,M,0
632,392,Anitha Naik,17,T,0
633,393,Kavya Shetty,39,T,0
634,393,Zeenath Patil,18,F,0
635,394,Vijayalakshmi Poojary,29,F,0
636,395,Yamuna Fernandes,59,T,0
637,396,Ravi Poojary,29,M,0
638,396,Fatima Patil,37,F,0
639,397,Thimmaiah Rao,16,M,0
640,397,Zameer Patil,66,M,0
641,398,Suresh Poojary,54,M,0
642,399,Usha Khan,51,F,0
643,400,Venkatesh Patil,60,M,0
644,401,Roopa Kumar,28,F,0
645,401,Ayesha Naik,14,F,0
646,402,Triveni Setty,10,F,0
647,402,Anitha Shetty,26,F,0
648,403,Vani Setty,6,F,0
649,404,Sunitha Nair,7,F,0
650,404,Fatima Reddy,29,F,0
651,405,Kavya Poojary,50,T,0
652,406,Latha Reddy,36,T,0
653,407,Usha Setty,16,T,0
654,407,Vijayalakshmi Achar,61,F,0
655,408,Manjunath Kumar,73,M,0
656,408,Zameer Fernandes,40,M,0
657,409,Ullas Khan,32,M,0
658,409,Naveen Rao,54,M,0
659,410,Roopa Sheikh,45,T,0
660,410,Anitha Naik,64,T,0
661,411,Radha Sheikh,70,T,0
662,411,Roopa Setty,65,T,0
663,412,Imran Reddy,16,M,0
664,412,Kavya Kumar,38,F,0
665,413,Roopa Fernandes,28,T,0
666,414,Kavya Naik,7,T,0
667,414,Basavaraj Nair,8,M,0
668,415,Krishna Setty,29,M,0
669,416,Yamuna Khan,49,F,0
670,417,Nandini Setty,13,T,0
671,417,Zeenath Nair,46,F,0
672,418,Shwetha Setty,37,T,0
673,419,Nandini Achar,38,F,0
674,420,Naveen Poojary,45,M,0
675,420,Sunitha Patil,36,F,0
676,421,Triveni Hegde,7,F,0
677,421,Latha Fernandes,63,F,0
678,422,Fatima Gowda,54,F,0
679,422,Shankar Poojary,5,M,0
680,423,Sowmya Patil,42,T,0
681,424,Yogesh Nair,51,M,0
682,424,Vijayalakshmi Achar,70,F,0
683,425,Fatima Rao,43,T,0
684,426,Roopa Khan,28,T,0
685,427,Manjunath Reddy,30,M,0
686,428,Yusuf Khan,7,M,0
687,429,Meena Naik,24,F,0
688,429,Ayesha Khan,51,T,0
689,430,Puneeth Achar,14,M,0
690,430,Zeenath Reddy,5,T,0
691,431,Zeenath Patil,70,F,0
692,431,Deepa Fernandes,15,F,0
693,432,Yamuna Shetty,16,F,0
694,433,Roopa Naik,15,F,0
695,433,Nataraj Poojary,30,M,0
696,434,Vijayalakshmi Shetty,24,T,0
697,434,Vijayalakshmi Sheikh,11,T,0
698,435,Zeenath Reddy,48,F,0
699,435,Roopa Nair,49,T,0
700,436,Mahesh Rao,75,M,0
701,437,Shwetha Reddy,35,T,0
702,437,Yamuna Nair,8,F,0
703,438,Triveni Gowda,66,T,0
704,438,Sunitha Sheikh,58,F,0
705,439,Shwetha Poojary,26,F,0
706,439,Zameer Poojary,43,M,0
707,440,Sowmya Setty,41,F,0
708,441,Nandini Nair,35,F,0
709,441,Nandini Kumar,56,T,0
710,442,Imran Setty,15,M,0
711,442,Zeenath Shetty,20,F,0
712,443,Sowmya Reddy,54,F,0
713,443,Fatima Hegde,38,F,0
714,444,Roopa Sheikh,43,T,0
715,444,Deepa Gowda,52,T,0
716,445,Sowmya Setty,38,T,0
717,445,Vani Reddy,48,T,0
718,446,Pooja Reddy,28,F,0
719,447,Shwetha Achar,22,T,0
720,447,Mahesh Achar,29,M,0
721,448,Vani Hegde,37,F,0
722,449,Usha Nair,47,T,0
723,450,Latha Nair,19,T,0
724,450,Yamuna Achar,50,T,0
725,451,Arjun Nair,64,M,0
726,452,Venkatesh Hegde,74,M,0
727,453,Triveni Reddy,38,F,0
728,454,Nataraj Sheikh,35,M,0
729,455,Fatima Nair,22,F,0
730,455,Krishna Rao,48,M,0
731,456,Zameer Setty,66,M,0
